Microbe,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
Streptococcus_thermophilus_CNRZ1066,0,0,0,0.056,0,0.164,0,0,0,0.183
panAnaerococcus,0,0,0,0,0.35542,0,0.18294,0,0,0
Escherichia_coli_0_1288,0,0,0,0,0.20482,0,0.19219,0,0.10384,0.32358
panFusobacterium,0,0.065263,0,0,0,0,0.20966,0,0,0
panEnterobacter,0.23245,0.20632,0.052052,0,0.089357,0,0,0,0,0
Bacteroides_uniformis_ATCC_8492,0.20138,0,0,0,0,0,0,0,0,0.25691
Veillonella_parvula_ACS_068_V_Sch12,0,0,0,0.25727,0,0,0.15622,0,0.17965,0
panBacteroides,0.063291,0.31053,0.27928,0.30233,0,0.089527,0.044193,0,0.33956,0.027642
panRuminococcus,0,0,0,0,0,0,0,0.17723,0,0
Clostridium_butyricum_5521,0,0,0,0.23256,0.18173,0,0,0.17401,0,0
Campylobacter_jejuni_CJM1cam,0.19448,0,0,0,0,0,0,0.16112,0,0
panDialister,0,0,0,0,0,0.24662,0,0,0,0
panEscherichia,0,0,0,0,0,0,0,0.15682,0,0
panClostridium,0.16341,0,0.14515,0.024709,0.044177,0.23142,0.058582,0.029001,0,0
Prevotella_copri_CB7_DSM_18205,0,0.093684,0,0.18314,0,0,0,0,0,0.22276
Lactobacillus_iners_7_1_47FAA,0,0.13579,0.003003,0,0,0,0,0,0.13707,0
Salmonella_enterica_enterica_sv_Typhimurium_LT2,0,0,0,0,0,0,0,0.14501,0.13188,0
Prevotella_shahii_JCM_12083,0.14499,0,0.12412,0,0,0,0.11202,0,0,0
panPaenibacillus,0,0.11789,0.12412,0,0,0,0,0,0,0
panVeillonella,0,0,0,0,0,0,0,0,0,0.16911
Collinsella_aerofaciens_ATCC_25986,0,0,0.093093,0,0,0.16385,0,0,0.089304,0
Escherichia_albertii_EC06_170,0,0,0.086086,0,0,0,0.044193,0,0,0
Coprococcus_catus_ERR2221258,0,0,0.093093,0,0.075301,0,0,0,0,0
Bifidobacterium_longum_BG7,0,0.070526,0,0,0,0.15709,0,0.082707,0,0
Rothia_mucilaginosa_ATCC_25296,0,0,0,0,0,0.11149,0,0.074114,0,0
Bacteroides_ovatus_3_8_47FAA,0,0,0,0,0.049197,0,0,0,0,0
Lactobacillus_intestinalis_ERR2221123,0,0,0,0,0,0,0,0,0.018692,0
