,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
Streptococcus thermophilus,0,0,0,0.056,0,0.164,0,0,0,0.183
Escherichia coli,0,0,0,0,0.204,0,0.187,0,0.1,0.199
Bacteroides uniformis,0.175,0,0,0,0,0,0,0,0,0.158
Veillonella parvula,0,0,0,0.177,0,0,0.152,0,0.173,0
Clostridium butyricum,0,0,0,0.16,0.181,0,0,0.162,0,0
Campylobacter jejuni,0.169,0,0,0,0,0,0,0.15,0,0
Prevotella copri,0,0.089,0,0.126,0,0,0,0,0,0.137
Lactobacillus iners,0,0.129,0.003,0,0,0,0,0,0.132,0
Salmonella enterica,0,0,0,0,0,0,0,0.135,0.127,0
Prevotella shahii,0.126,0,0.124,0,0,0,0.109,0,0,0
Collinsella aerofaciens,0,0,0.093,0,0,0.097,0,0,0.086,0
Escherichia albertii,0,0,0.086,0,0,0,0.043,0,0,0
Coprococcus catus,0,0,0.093,0,0.075,0,0,0,0,0
Bifidobacterium longum,0,0.067,0,0,0,0.093,0,0.077,0,0
Rothia mucilaginosa,0,0,0,0,0,0.066,0,0.069,0,0
Bacteroides ovatus,0,0,0,0,0.049,0,0,0,0,0
Lactobacillus intestinalis,0,0,0,0,0,0,0,0,0.018,0
